"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/30/2022","AQS","060370002","1","0.4","ppm","5","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/31/2022","AQS","060370002","1","0.6","ppm","7","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/01/2022","AQS","060370002","1","0.5","ppm","6","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/02/2022","AQS","060370002","1","0.3","ppm","3","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/03/2022","AQS","060370002","1","0.4","ppm","5","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/04/2022","AQS","060370002","1","0.4","ppm","5","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/05/2022","AQS","060370002","1","0.3","ppm","3","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/06/2022","AQS","060370002","1","0.4","ppm","5","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/07/2022","AQS","060370002","1","0.3","ppm","3","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/08/2022","AQS","060370002","1","0.4","ppm","5","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/09/2022","AQS","060370002","1","0.5","ppm","6","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/10/2022","AQS","060370002","1","0.4","ppm","5","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/11/2022","AQS","060370002","1","0.5","ppm","6","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/12/2022","AQS","060370002","1","0.4","ppm","5","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/13/2022","AQS","060370002","1","0.4","ppm","5","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/14/2022","AQS","060370002","1","0.5","ppm","6","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/15/2022","AQS","060370002","1","0.4","ppm","5","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/16/2022","AQS","060370002","1","0.3","ppm","3","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/17/2022","AQS","060370002","1","0.4","ppm","5","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/18/2022","AQS","060370002","1","0.3","ppm","3","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
